restaurant_name,online_order,book_table,rate_out_of_5,total_votes,location,rest_type,approx_cost_for_two,type_of_meal
Jalsa,Yes,Yes,4.1,775,Banashankari,Casual Dining,800,Buffet
Spice Elephant,Yes,No,4.1,787,Banashankari,Casual Dining,800,Buffet
San Churro Cafe,Yes,No,3.8,918,Banashankari,"Cafe, Casual Dining",800,Buffet
Addhuri Udupi Bhojana,No,No,3.7,88,Banashankari,Quick Bites,300,Buffet
Grand Village,No,No,3.8,166,Basavanagudi,Casual Dining,600,Buffet
Timepass Dinner,Yes,No,3.8,286,Basavanagudi,Casual Dining,600,Buffet
Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8,Mysore Road,Casual Dining,800,Buffet
Onesta,Yes,Yes,4.6,2556,Banashankari,"Casual Dining, Cafe",600,Cafes
Penthouse Cafe,Yes,No,4.0,324,Banashankari,Cafe,700,Cafes
Smacznego,Yes,No,4.2,504,Banashankari,Cafe,550,Cafes
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1,402,Banashankari,Cafe,500,Cafes
Cafe Shuffle,Yes,Yes,4.2,150,Banashankari,Cafe,600,Cafes
The Coffee Shack,Yes,Yes,4.2,164,Banashankari,Cafe,500,Cafes
Caf-Eleven,No,No,4.0,424,Banashankari,Cafe,450,Cafes
San Churro Cafe,Yes,No,3.8,918,Banashankari,"Cafe, Casual Dining",800,Cafes
Cafe Vivacity,Yes,No,3.8,90,Banashankari,Cafe,650,Cafes
Catch-up-ino,Yes,No,3.9,133,Banashankari,Cafe,800,Cafes
Kirthi's Biryani,Yes,No,3.8,144,Banashankari,Cafe,700,Cafes
T3H Cafe,No,No,3.9,93,Banashankari,Cafe,300,Cafes
360 Atoms Restaurant And Cafe,Yes,No,3.1,13,Banashankari,Cafe,400,Cafes
The Vintage Cafe,Yes,No,3.0,62,Banashankari,Cafe,400,Cafes
Woodee Pizza,Yes,No,3.7,180,Banashankari,Cafe,500,Cafes
Cafe Coffee Day,No,No,3.6,28,Banashankari,Cafe,900,Cafes
My Tea House,Yes,No,3.6,62,Banashankari,"Quick Bites, Cafe",600,Cafes
Hide Out Cafe,No,No,3.7,31,Banashankari,Cafe,300,Cafes
CAFE NOVA,No,No,3.2,11,Banashankari,Cafe,600,Cafes
Coffee Tindi,Yes,No,3.8,75,Banashankari,"Cafe, Quick Bites",200,Cafes
Sea Green Cafe,No,No,3.3,4,Banashankari,Cafe,500,Cafes
Cuppa,No,No,3.3,23,Banashankari,Cafe,550,Cafes
Srinathji's Cafe,No,No,3.8,148,Basavanagudi,"Casual Dining, Cafe",550,Cafes
Redberrys,Yes,No,4.0,219,Basavanagudi,Cafe,600,Cafes
Foodiction,Yes,No,2.8,506,Banashankari,Quick Bites,500,Delivery
Sweet Truth,Yes,No,3.9,35,Banashankari,Delivery,500,Delivery
Ovenstory Pizza,Yes,No,3.9,172,Banashankari,Delivery,750,Delivery
Faasos,Yes,No,4.2,415,Banashankari,Quick Bites,500,Delivery
Behrouz Biryani,Yes,No,3.9,230,Banashankari,Delivery,650,Delivery
Fast And Fresh,Yes,No,2.8,91,Banashankari,Quick Bites,400,Delivery
Szechuan Dragon,Yes,No,4.2,1647,Banashankari,Casual Dining,600,Delivery
Empire Restaurant,Yes,No,4.4,4884,Jayanagar,Casual Dining,750,Delivery
Maruthi Davangere Benne Dosa,Yes,No,4.0,17,Banashankari,Quick Bites,150,Delivery
Chaatimes,Yes,No,3.8,133,Basavanagudi,Quick Bites,200,Delivery
Havyaka Mess,No,No,3.9,28,Banashankari,Mess,300,Delivery
McDonald's,Yes,No,3.9,286,Banashankari,Quick Bites,500,Delivery
Domino's Pizza,Yes,No,3.9,540,Banashankari,Quick Bites,800,Delivery
Onesta,Yes,Yes,4.6,2556,Banashankari,"Casual Dining, Cafe",600,Delivery
Hotboxit,No,No,3.8,36,Banashankari,Delivery,400,Delivery
Kitchen Garden,Yes,No,3.6,244,Kumaraswamy Layout,Quick Bites,300,Delivery
Recipe,Yes,No,4.0,804,Kumaraswamy Layout,Casual Dining,450,Delivery
Beijing Bites,Yes,No,3.7,679,Rajarajeshwari Nagar,Casual Dining,850,Delivery
Tasty Bytes,Yes,No,3.1,245,Kumaraswamy Layout,Quick Bites,300,Delivery
Petoo,No,No,3.7,21,Banashankari,Quick Bites,450,Delivery
Shree Cool Point,Yes,No,4.1,28,Vijay Nagar,Quick Bites,150,Delivery
Corner House Ice Cream,No,No,4.3,345,Banashankari,Dessert Parlor,400,Delivery
Biryanis And More,Yes,No,4.0,618,Jayanagar,Casual Dining,750,Delivery
Roving Feast,No,No,4.0,1047,Banashankari,Quick Bites,450,Delivery
FreshMenu,Yes,No,3.9,627,Banashankari,Delivery,450,Delivery
Banashankari Donne Biriyani,Yes,No,3.8,104,Banashankari,Quick Bites,300,Delivery
Wamama,Yes,Yes,4.2,354,Banashankari,Casual Dining,800,Delivery
Five Star Chicken,No,No,3.6,55,Banashankari,Quick Bites,200,Delivery
XO Belgian Waffle,Yes,No,3.7,17,Banashankari,Dessert Parlor,400,Delivery
Peppy Peppers,No,No,4.2,244,Banashankari,Casual Dining,800,Delivery
Goa 0 Km,Yes,Yes,3.6,163,Kumaraswamy Layout,Casual Dining,800,Delivery
Chinese Kitchen,Yes,No,3.8,58,Basavanagudi,Quick Bites,150,Delivery
1947,No,Yes,4.0,808,Banashankari,Casual Dining,850,Delivery
Cake of the Day,No,No,3.7,78,Banashankari,"Bakery, Dessert Parlor",150,Delivery
Kabab Magic,Yes,No,4.1,1720,Basavanagudi,Quick Bites,400,Delivery
Namma Brahmin's Idli,Yes,No,3.6,34,Jayanagar,Quick Bites,100,Delivery
Gustoes Beer House,No,No,4.1,868,Banashankari,Pub,"1,200",Delivery
Sugar Rush,No,No,3.8,39,Banashankari,Bakery,300,Delivery
Burger King,Yes,No,3.2,71,Basavanagudi,Quick Bites,600,Delivery
The Good Bowl,Yes,No,3.6,6,Banashankari,"Takeaway, Delivery",500,Delivery
The Biryani Cafe,No,No,4.1,520,Banashankari,Quick Bites,300,Delivery
Spicy Tandoor,No,No,,0,Banashankari,Quick Bites,150,Delivery
LSD Cafe,No,No,2.9,84,Banashankari,Delivery,700,Delivery
Rolls On Wheels,No,No,3.6,299,Banashankari,Quick Bites,300,Delivery
Om Sri Vinayaka Chats,No,No,,0,Banashankari,"Takeaway, Delivery",500,Delivery
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,558,Basavanagudi,Quick Bites,150,Delivery
Devanna Dum Biriyani Centre,Yes,No,3.6,28,Banashankari,Quick Bites,300,Delivery
Kolbeh,No,No,3.7,22,Banashankari,Quick Bites,500,Delivery
Upahar Sagar,No,No,3.8,39,Banashankari,Quick Bites,350,Delivery
Kadalu Sea Food Restaurant,Yes,No,3.8,153,Vijay Nagar,Fine Dining,500,Delivery
Frozen Bottle,Yes,No,4.2,146,Banashankari,Beverage Shop,400,Delivery
Parimala Sweets,No,No,3.5,14,Banashankari,Sweet Shop,200,Delivery
Vaishali Deluxe,No,No,3.8,42,Banashankari,Casual Dining,700,Delivery
Chill Out,No,No,,0,Banashankari,Quick Bites,100,Delivery
The Big O Bakes,No,No,4.0,66,Banashankari,Bakery,300,Delivery
Meghana Foods,Yes,No,4.4,4401,Jayanagar,Casual Dining,600,Delivery
Krishna Sagar,No,No,3.5,31,Banashankari,Quick Bites,200,Delivery
Dessert Rose,No,No,3.5,7,Banashankari,Dessert Parlor,500,Delivery
Chickpet Donne Biryani House,No,No,3.7,21,Banashankari,Quick Bites,250,Delivery
Me And My Cake,No,No,,0,Banashankari,Delivery,500,Delivery
Sunsadm,No,No,,0,Banashankari,"Takeaway, Delivery",400,Delivery
Annapooraneshwari Mess,No,No,,0,Banashankari,Mess,200,Delivery
Thanco's Natural Ice Creams,No,No,3.2,9,Banashankari,Dessert Parlor,300,Delivery
Nandhini Deluxe,No,No,2.6,283,Banashankari,Casual Dining,600,Delivery
Vi Ra's Bar and Restaurant,No,No,3.3,62,Banashankari,Bar,800,Delivery
Kaggis,No,No,3.8,64,Banashankari,Quick Bites,250,Delivery
Ayda Persian Kitchen,No,No,3.7,39,Banashankari,Casual Dining,950,Delivery
Chatar Patar,No,No,3.7,65,Banashankari,Quick Bites,300,Delivery
Polar Bear,Yes,No,3.8,71,Basavanagudi,Dessert Parlor,400,Delivery
Kidambi's Kitchen,No,No,3.5,52,Banashankari,Quick Bites,300,Delivery
Mane Thindi,No,No,3.7,130,Banashankari,Quick Bites,200,Delivery
Kotian Karavali Restaurant,No,No,3.5,10,Banashankari,Quick Bites,300,Delivery
Floured-Baked With Love,No,No,3.8,45,Banashankari,"Takeaway, Delivery",400,Delivery
CAFE NOVA,No,No,3.2,11,Banashankari,Cafe,600,Delivery
Cakes & Slices,No,No,3.5,13,Banashankari,Bakery,300,Delivery
Spice 9,No,No,3.4,8,Banashankari,Quick Bites,300,Delivery
Coffee Shopee,No,No,,0,Banashankari,"Takeaway, Delivery",250,Delivery
Naveen Kabab & Biriyani Mane,No,No,3.2,9,Banashankari,Quick Bites,300,Delivery
Katriguppe Donne Biryani,No,No,3.2,4,Banashankari,Quick Bites,300,Delivery
Hari Super Sandwich,No,No,,0,Banashankari,"Takeaway, Delivery",200,Delivery
Atithi Point Ande Ka Funda,No,No,3.1,29,Banashankari,Quick Bites,150,Delivery
Just Bake,No,No,3.4,8,Banashankari,Bakery,400,Delivery
Dharwad Line Bazaar Mishra Pedha,No,No,,0,Banashankari,Dessert Parlor,150,Delivery
Cake Bite,No,No,,0,Banashankari,Bakery,300,Delivery
Aarush's Food Plaza,No,No,,0,Banashankari,Quick Bites,200,Delivery
Wood Stove,No,No,,0,Banashankari,"Takeaway, Delivery",150,Delivery
Kulfi & More,No,No,,0,Banashankari,Dessert Parlor,150,Delivery
Kannadigas Karavali,No,No,,0,Banashankari,Quick Bites,250,Delivery
K27 - The Pub,No,No,3.1,30,Banashankari,Bar,"1,000",Delivery
Bengaluru Coffee House,Yes,No,4.1,201,Banashankari,Quick Bites,300,Delivery
New Mangalore Lunch Home,No,No,3.3,7,Banashankari,Quick Bites,200,Delivery
Coffee Bytes,No,No,3.1,6,Banashankari,Quick Bites,100,Delivery
Parjanya Chat Zone,No,No,3.3,17,Banashankari,Quick Bites,200,Delivery
Kwality Wall's Swirl's Happiness Station,No,No,2.9,25,Banashankari,Dessert Parlor,200,Delivery
Soms Kitchen & Bakes,No,No,,0,Banashankari,Delivery,400,Delivery
Banashankari Nati Style,No,No,,0,Banashankari,Quick Bites,350,Delivery
Ruchi Maayaka,No,No,3.3,8,Banashankari,Delivery,100,Delivery
Mohitesh Hut Roll,No,No,,0,Banashankari,Quick Bites,150,Delivery
Sri Basaveshwar Jolada Rotti Oota,No,No,,0,Banashankari,Quick Bites,150,Delivery
Roll Magic Fast Food,No,No,,0,Banashankari,"Takeaway, Delivery",200,Delivery
Foodlieious Multi Cuisine,No,No,,0,Banashankari,Quick Bites,100,Delivery
Thanishka Nati And Karavali Style,No,No,,0,Banashankari,Quick Bites,400,Delivery
Swathi Cool Point,No,No,,0,Banashankari,Beverage Shop,200,Delivery
Kaumudis Juoice,No,No,,0,Banashankari,"Beverage Shop, Quick Bites",150,Delivery
Amma - Manae,No,No,,0,Banashankari,"Takeaway, Delivery",400,Delivery
Sri Sai Tiffannies,No,No,,0,Banashankari,Quick Bites,150,Delivery
Hotel Andhra Speices,No,No,,0,Banashankari,Quick Bites,250,Delivery
Sri Murari Family Restaurant,No,No,,0,Banashankari,Quick Bites,250,Delivery
Aramane Donne Biriyani,No,No,,0,Banashankari,Quick Bites,150,Delivery
Darkolates,No,No,,0,Banashankari,Confectionery,200,Delivery
Swaada Healthy Kitchen,No,No,,0,Banashankari,"Quick Bites, Beverage Shop",350,Delivery
Gawdaru Mane Beriyani,No,No,,0,Banashankari,Quick Bites,300,Delivery
Melting Melodies,No,No,,0,Banashankari,"Takeaway, Delivery",100,Delivery
New Indraprasta,No,No,,0,Banashankari,Quick Bites,150,Delivery
